codeId,code,id,name,source,version
198,198,aPXq0TollLkaGa8hZ_d-3BA,Controller 198 - Schedule adherence unit,SourceJ1708Id,0000000000000086
199,199,aRmYXcOwxn0ODr4iGjgwyug,Controller 199 - Route adherence unit,SourceJ1708Id,0000000000000087
200,200,a95m_qTv3bECO3CJ8CAglew,C200-Env. monitor unit / aux cab climate control,SourceJ1708Id,0000000000000088
201,201,aOpWhlUDpKUmD99dofoMtdA,Controller 201-Vehicle status points monitor unit,SourceJ1708Id,0000000000000089
202,202,aAgUuzQOxBU27eHJHlj7JJw,Controller 202 - High speed communications unit,SourceJ1708Id,000000000000008a
203,203,a4q8Hq4wBtUiwc5dvoH0uog,Controller 203 - Mobile data terminal unit,SourceJ1708Id,000000000000008b
204,204,acip5BGPEY0-HVoPSz5Fk9Q,Controller 204 - Vehicle proximity right side,SourceJ1708Id,000000000000008c
205,205,aLiKtkBw20Eeh4qlh7jqb5w,Controller 205 - Vehicle proximity left side,SourceJ1708Id,000000000000008d
206,206,atyoB1t99ok-278nJJ2vh8A,C206-Base unit (radio gateway to fixed end),SourceJ1708Id,000000000000008e
207,207,anNiKxi2snUyfYk9grAgWiQ,C207-Bridge from SAE J1708 drivetrain link,SourceJ1708Id,000000000000008f
208,208,atCSE5BRdXUyo7wg5cbHQPg,Controller 208 - Maintenance printer,SourceJ1708Id,0000000000000090
209,209,ajbrU2tl_rkG8vN5pmHEu1g,Controller 209 - 5th wheel hitch monitoring device,SourceJ1708Id,0000000000000091
210,210,adMHlWp6b9kCa76cvo9oHiQ,Controller 210 - Bus chasis idenfitication number,SourceJ1708Id,0000000000000092
211,211,aDYgm44QBbkaEURxnUoZrsQ,Controller 211 - Smart card terminal,SourceJ1708Id,0000000000000093
212,212,alIFwIvTGZUGeBgJjammyQA,Controller 212 - Mobile data terminal,SourceJ1708Id,0000000000000094
213,213,aFacgMZ-Fs0SN68kG2TcqcA,Controller 213 - Vehicle control head touch screen,SourceJ1708Id,0000000000000095
214,214,ay57xRr0eEEaQzGr_YrPqAQ,Controller 214 - Silent alarm unit,SourceJ1708Id,0000000000000096
215,215,arhdKfF8zY0Wa8H3EHhL9Bg,Controller 215 - Surveillance microphone,SourceJ1708Id,0000000000000097
216,216,aDowt_mHxP0uc68tqLglbJg,Controller 216-Lighting control administrator unit,SourceJ1708Id,0000000000000098
217,217,aEb51vOahh0S4BQBAtl1yUA,C217 - Tractor/trailer gateway tractor mounted,SourceJ1708Id,0000000000000099
218,218,aHupKbZWgZ0aqMc9RB_rlIg,C218 - Tractor/trailer gateway tractor mounted,SourceJ1708Id,000000000000009a
219,219,aypDFfQOp3EKyVCjJznLwyw,Controller 219 - Collision avoidance systems,SourceJ1708Id,000000000000009b
220,220,auCq71cqX0kGwxtVlN0pLyA,Controller 220 - Tachograph,SourceJ1708Id,000000000000009c
221,221,a03-Z1r0UzUauBHvPIp0LjA,Controller 221 - Driver information center #2,SourceJ1708Id,000000000000009d
222,222,aUcIdJFmYLkW22mDN7nicVA,Controller 222 - Driveline retarder,SourceJ1708Id,000000000000009e
223,223,a6-aAHoQCMEGJ1WnvENPUIw,Controller 223-Transmission shift console-primary,SourceJ1708Id,000000000000009f
224,224,aJg30tMySTEuPj_dLSxLSug,Controller 224 - Parking heater,SourceJ1708Id,00000000000000a0
225,225,azRVqt9OWbkeEduwzhqYimw,C225 - Weighing system axle group #1 / vehicle,SourceJ1708Id,00000000000000a1
226,226,aYo9sUxXZyEqMBwvNG2kLAw,Controller 226 - Weighing system axle group #2,SourceJ1708Id,00000000000000a2
227,227,aHNmRvYWi3E62YnknMhVIDw,Controller 227 - Weighing system axle group #3,SourceJ1708Id,00000000000000a3
68,68,a3BrFu3s4_UikPfnzn8gzAg,ECU #68,SourceObdSaId,000000000000016b
228,228,adn9QagzhrkiSuUWw6imMlQ,Controller 228 - Weighing system axle group #4,SourceJ1708Id,00000000000000a4
229,229,addrAH4NH4kePLCy1saEWTQ,Controller 229 - Weighing system axle group #5,SourceJ1708Id,00000000000000a5
230,230,apvyvfeczRUiEGrhf2r4k8Q,Controller 230 - Weighing system axle group #6,SourceJ1708Id,00000000000000a6
231,231,a1CMDWmihcEWjOMac2me_oA,Controller 231 - Communication unit-cellular,SourceJ1708Id,00000000000000a7
232,232,aqxMPT4VcgU2zQuO9oGNvrg,Controller 232 - Safety restraint system #1,SourceJ1708Id,00000000000000a8
233,233,aCQ5ZkmLJf0alSVWcM9Qy6g,Controller 233 - Intersection preemption emitter,SourceJ1708Id,00000000000000a9
234,234,aOd2-3NBalUO6ITeMVwUPtw,Controller 234 - Instrument cluster #2,SourceJ1708Id,00000000000000aa
235,235,arWub41ACMkSLEgoNTH8mzw,Controller 235 - Engine oil control system,SourceJ1708Id,00000000000000ab
236,236,apV75bo4U0USzI_m8ZsV2GA,Controller 236 - Entry assist control #1,SourceJ1708Id,00000000000000ac
237,237,aBM6ZpsgU9E2_KP6dHqDBDw,Controller 237 - Entry assist control #2,SourceJ1708Id,00000000000000ad
238,238,a7A2k63IF602z17hQP_Ip_g,Controller 238 - Idle adjust system,SourceJ1708Id,00000000000000ae
239,239,aDLu4nzuLXUSBqvt83nD_hw,Controller 239 - Passenger counter unit #2,SourceJ1708Id,00000000000000af
240,240,aL-9Y9KFWqEeyJt26aRqidA,Controller 240 - Passenger counter unit #3,SourceJ1708Id,00000000000000b0
241,241,ayiT-yrFDa0micZ74LVCJjg,Controller 241 - Fuel tank monitor,SourceJ1708Id,00000000000000b1
242,242,asmn3CHil0UWsK0pci23UpQ,Controller 242 - Door #4 status unit,SourceJ1708Id,00000000000000b2
243,243,aWlbe0FPfWkeVDUKxMQmMAw,Controller 243 - Door #5 status unit,SourceJ1708Id,00000000000000b3
244,244,apbk7rMZm7UOKzZa0bgDAPw,Controller 244 - Door #6 status unit,SourceJ1708Id,00000000000000b4
245,245,aluUN-Px_WUqEC_7W9GPE5w,C245-HD:Weighing sys disp./MT:Door #7 status unit,SourceJ1708Id,00000000000000b5
246,246,a_OQ9pNB1C0mFyW6UgOKv9A,C246-HD:Brakes trailer #4/MT:Door #8 status unit,SourceJ1708Id,00000000000000b6
247,247,agVzSj4pzZkufpoHRQegLcw,Controller 247 - Brakes trailler #5,SourceJ1708Id,00000000000000b7
248,248,aR0o7wBh1jkesbfK--GtmlQ,Controller 248 - Forward road image processor,SourceJ1708Id,00000000000000b8
249,249,aPawKozgIrEK_mjBF1ke6kA,Controller 249 - Body controller,SourceJ1708Id,00000000000000b9
250,250,aXsQevxVI7kSTr7p3O3cx8Q,Controller 250 - Steering column unit,SourceJ1708Id,00000000000000ba
253,253,av-QR3E2mIUOmWHxUq6vpug,Controller 253-Brake stroke alert monitor tractor,SourceJ1708Id,00000000000000bb
254,254,admKokJW78EWxuyheK1UiDg,Controller 254 - Safety restraint system #2,SourceJ1708Id,00000000000000bc
255,255,apK68cE8P30avl2ZsUqgq_A,Controller 255 - Reserved to be assigned,SourceJ1708Id,00000000000000bd
0,0,ControllerJ1939EngineNo1Id,Engine #1,SourceJ1939Id,00000000000000be
1,1,ControllerJ1939EngineNo2Id,Engine #2,SourceJ1939Id,00000000000000bf
2,2,ControllerJ1939TurbochargerId,Turbocharger,SourceJ1939Id,00000000000000c0
3,3,ControllerTransmissionNo1Id,Transmission #1,SourceJ1939Id,00000000000000c1
4,4,ControllerTransmissionNo2Id,Transmission #2,SourceJ1939Id,00000000000000c2
5,5,ControllerShiftConsolePrimaryId,Shift console - primary,SourceJ1939Id,00000000000000c3
6,6,ControllerShiftConsoleSecondaryId,Shift console - secondary,SourceJ1939Id,00000000000000c4
7,7,ControllerJ1939PowerTakeOffMainRearId,Power takeoff - (main or rear),SourceJ1939Id,00000000000000c5
8,8,ControllerAxleSteeringId,Axle - steering,SourceJ1939Id,00000000000000c6
9,9,ControllerAxleDriveNo1Id,Axle - drive #1,SourceJ1939Id,00000000000000c7
10,10,ControllerAxleDriveNo2Id,Axle - drive #2,SourceJ1939Id,00000000000000c8
11,11,ControllerBrakesSystemControllerId,Brakes - system controller,SourceJ1939Id,00000000000000c9
12,12,ControllerBrakesSteerAxleId,Brakes - steer axle,SourceJ1939Id,00000000000000ca
13,13,ControllerBrakesDriveAxleNo1Id,Brakes - drive axle #1,SourceJ1939Id,00000000000000cb
14,14,ControllerBrakesDriveAxleNo2Id,Brakes - drive axle #2,SourceJ1939Id,00000000000000cc
15,15,ControllerRetarderEngineId,Retarder - engine,SourceJ1939Id,00000000000000cd
16,16,ControllerRetarderDrivelineId,Retarder - driveline,SourceJ1939Id,00000000000000ce
17,17,ControllerJ1939CruiseControlId,Cruise control,SourceJ1939Id,00000000000000cf
18,18,ControllerJ1939FuelSystemId,Fuel system,SourceJ1939Id,00000000000000d0
19,19,ControllerSteeringControllerId,Steering controller,SourceJ1939Id,00000000000000d1
20,20,ControllerSuspensionSteerAxleId,Suspension - steer axle,SourceJ1939Id,00000000000000d2
21,21,ControllerSuspensionDriveAxleNo1Id,Suspension - drive axle #1,SourceJ1939Id,00000000000000d3
22,22,ControllerSuspensionDriveAxleNo2Id,Suspension - drive axle #2,SourceJ1939Id,00000000000000d4
23,23,ControllerInstrumentClusterNo1Id,Instrument cluster #1,SourceJ1939Id,00000000000000d5
24,24,ControllerJ1939TripRecorderId,Trip recorder,SourceJ1939Id,00000000000000d6
25,25,ControllerPassengerOperatorClimateControl1Id,Passenger-operator climate control #1,SourceJ1939Id,00000000000000d7
26,26,ControllerAlternatorElectricalChargingSystemId,Alternator/electrical charging system,SourceJ1939Id,00000000000000d8
27,27,ControllerAerodynamicControlId,Aerodynamic control,SourceJ1939Id,00000000000000d9
28,28,ControllerVehicleNavigationId,Vehicle navigation,SourceJ1939Id,00000000000000da
29,29,ControllerJ1939VehicleSecurityId,Vehicle security,SourceJ1939Id,00000000000000db
30,30,ControllerElectricalSystemId,Electrical system,SourceJ1939Id,00000000000000dc
31,31,ControllerStarterSystemId,Starter system,SourceJ1939Id,00000000000000dd
32,32,ControllerTractorTrailerBridgeNo1Id,Tractor-trailer bridge #1,SourceJ1939Id,00000000000000de
33,33,ControllerBodyControllerId,Body controller,SourceJ1939Id,00000000000000df
34,34,ControllerAuxiliaryValveControlId,Aux valve control or engine air system valve ctrl,SourceJ1939Id,00000000000000e0
35,35,ControllerHitchControlId,Hitch control,SourceJ1939Id,00000000000000e1
36,36,ControllerPowerTakeOffFrontSecondaryId,Power takeoff (front or secondary),SourceJ1939Id,00000000000000e2
37,37,ControllerOffVehicleGatewayId,Off vehicle gateway,SourceJ1939Id,00000000000000e3
38,38,ControllerVirtualTerminalId,Virtual terminal (in cab),SourceJ1939Id,00000000000000e4
39,39,ControllerManagementComputerNo1Id,Management computer #1,SourceJ1939Id,00000000000000e5
40,40,ControllerCabDisplayNo1Id,Cab display #1,SourceJ1939Id,00000000000000e6
41,41,ControllerRetarderExhaustEngineNo1Id,Retarder exhaust engine #1,SourceJ1939Id,00000000000000e7
42,42,ControllerHeadwayControllerId,Headway controller,SourceJ1939Id,00000000000000e8
43,43,ControllerOnBoardDiagnosticUnitId,On-board diagnostic unit,SourceJ1939Id,00000000000000e9
44,44,ControllerRetarderExhaustEngineNo2Id,Retarder exhaust engine #2,SourceJ1939Id,00000000000000ea
45,45,ControllerEnduranceBrakingSystemId,Endurance braking system,SourceJ1939Id,00000000000000eb
46,46,ControllerHydraulicPumpControllerId,Hydraulic pump controller,SourceJ1939Id,00000000000000ec
47,47,ControllerSuspensionSystemControllerNo1Id,Suspension - system controller #1,SourceJ1939Id,00000000000000ed
48,48,ControllerJ1939PneumaticSystemControllerId,Pneumatic - system controller,SourceJ1939Id,00000000000000ee
49,49,ControllerCabControllerPrimaryId,Cab controller - primary,SourceJ1939Id,00000000000000ef
50,50,ControllerCabControllerSecondaryId,Cab controller - secondary,SourceJ1939Id,00000000000000f0
51,51,ControllerTirePressureControllerId,Tire pressure controller,SourceJ1939Id,00000000000000f1
52,52,ControllerIgnitionControlModuleNo1Id,Ignition control module #1,SourceJ1939Id,00000000000000f2
53,53,ControllerIgnitionControlModuleNo2Id,Ignition control module #2,SourceJ1939Id,00000000000000f3
54,54,ControllerSeatControlNo1Id,Seat control #1,SourceJ1939Id,00000000000000f4
55,55,ControllerLightingOperatorControlsId,Lighting - operator controls,SourceJ1939Id,00000000000000f5
56,56,ControllerRearAxleSteeringControllerNo1Id,Rear axle steering controller #1,SourceJ1939Id,00000000000000f6
57,57,ControllerWaterPumpControllerId,Water pump controller,SourceJ1939Id,00000000000000f7
58,58,ControllerPassengerOperatorClimateControlNo2Id,Passenger-operator climate control #2,SourceJ1939Id,00000000000000f8
